exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:279
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
exists:False, test: 0,food:burger: <100, 354>, highest:284
new food
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:179
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
exists:True, test: 90,food:fries: <90, 365>, highest:184
